6a,7,43,44a
kWh,kWh,kWh,kWh
,,,
0.2425,0,0,0
0.22,0,0,0
0.17,0,0,0
0.15,0,0,0
0.1,0.25,0,0
0.3,0.25,0,0
0.2475,0.25,0,0
0.515,0.25,0,0
1.015,0,0,0
1.035,0,0,0
1.0725,0,0,0
0.7575,0,0,0
1.05,0,0,0
1.115,0,0,0
1.1325,0,0,0
1.1325,0,0,0
1.1325,4.5,0,0
1.165,4.5,0,0
0.925,4.5,0,0
0.8675,4.5,0,0
1.1525,3.75,0,0
1.345,3.75,0,0
1.3425,3.75,0,0
1.075,3.75,0,0
1.105,3,0,0
1.1425,3,0,0
0.915,3,0,0
1.0225,3,0,0
1.15,1.75,0,0
1.1425,1.75,0,0
1.17,1.75,0,0
1.3,1.75,0,0
0.205,0.25,0,0
0.08,0.25,0,0
0.0575,0.25,0,0
0.075,0.25,0,0
0.0325,0,0,0
0.24,0,0,0
0.0175,0,0,0
0.035,0,0,0
0.52,0,0,0
0.1475,0,0,0
0.79,0,0,0
0.94,0,0,0
0.83,0,0,0
0.6875,0,0,0
0.8825,0,0,0
0.9775,0,0,0
0.8125,0.25,0,0
0.3375,0.25,0,0
0.0975,0.25,0,0
0.16,0.25,0,0
0.2625,0,0,0
0.2,0,0,0
0.0575,0,0,0
0.01,0,0,0
0.0475,0,0,0
0.0275,0,0,0
0.025,0,0,0
0.56,0,0,0
1.345,4.75,0,0
1.165,4.75,0,0
1.295,4.75,0,0
1.2075,4.75,0,0
1.22,3.75,0,0
0.97,3.75,0,0
1.505,3.75,0,0
1.61,3.75,0,0
1.5225,2.25,0,0
1.51,2.25,0,0
1.8,2.25,0,0
1.3175,2.25,0,0
1.4025,0.75,0,0
1.065,0.75,0,0
1.3025,0.75,0,0
1.3175,0.75,0,0
1.445,0,0,0
1.345,0,0,0
1.345,0,0,0
1.3925,0,0,0
0.9775,0.25,0,0
1.32,0.25,0,0
1.35,0.25,0,0
1.3525,0.25,0,0
1.765,0,0,0
1.3125,0,0,0
1.4425,0,0,0
0.6425,0,0,0
0.2475,0,0,0
0.2275,0,0,0
0.2325,0,0,0
0.25,0,0,0
0.2675,0,0,0
0.2625,0,0,0
0.225,0,0,0
0.2025,0,0,0
0.1375,0.25,0,0
0.1025,0.25,0,0
0.505,0.25,0,0
0.16,0.25,0,0
0.065,0,0,0
0.06,0,0,0
0.075,0,0,0
0.0725,0,0,0
0.5075,0,0,0
0.8225,0,0,0
1.03,0,0,0
1.07,0,0,0
1.0925,0,0,0
1.1375,0,0,0
1.135,0,0,0
1.18,0,0,0
1.2225,4.5,0,0
0.8375,4.5,0,0
1.535,4.5,0,0
1.19,4.5,0,0
1.19,3.75,0,0
1.2075,3.75,0,0
1.24,3.75,0,0
1.195,3.75,0,0
1.2075,2.75,0,0
0.8,2.75,0,0
1.1575,2.75,0,0
1.1475,2.75,0,0
1.185,2,0,0
1.205,2,0,0
1.3125,2,0,0
0.1575,2,0,0
0.06,0.25,1.625,0
0.08,0.25,1.5,0
0.0825,0.25,0.75,0
0.485,0.25,0,0
0.085,0.25,0,0
0.1025,0.25,0,0
0.075,0.25,0,0
0.085,0.25,0,0
0.2,0.25,0,0
0.35,0.25,0,0
1.085,0.25,0,0
1.36,0.25,0,0
0.6175,0,0,0
0.4225,0,0,0
1.65,0,0,0
1.66,0,0,0
2.415,0.25,0,0
2.2775,0.25,0,0
2.3375,0.25,0,0
1.8675,0.25,0,0
1.385,0,0,0
1.2225,0,0,0
1.255,0,0,0
1.165,0,0,0
0.85,0.25,0,0
1.5825,0.25,0,0
1.955,0.25,0,0
1.8975,0.25,0,0
2.1275,4.5,0,0
1.2875,4.5,0,0
1.4275,4.5,0,0
1.81,4.5,0,0
1.62,4.75,0,0
1.31,4.75,0,0
0.3775,4.75,0,0
0.4225,4.75,0,0
1.1275,3.25,0,0
0.9275,3.25,0,0
