102,106,135,143,144a,144b,145,146
kWh,kWh - Přetoky do sítě,kWh,kWh,kWh,kWh,kWh,kWh
,,,,,,,
0,0,0,51.125,14.4612,121.4379,0,0
0,0,0,50.75,14.4612,117.241875,0,0
0,0,0,52.5,14.3376,121.0676625,0,0
0,0,0,54.875,14.5848,121.684725,0,0
0,0,0,52.625,14.4612,121.3144875,0,0
0,0,0,50.75,14.4612,117.241875,0,0
0,0,0,51.5,14.4612,120.5740125,0,0
0,0,0,52.125,14.5848,121.5613125,0,0
0,0,0,53.875,14.3376,121.191075,0,0
0,0,0,52.25,14.5848,117.241875,0,0
0,0,0,50.75,14.3376,120.3271875,0,0
0,0,0,50.25,14.5848,121.5613125,0,0
0,0,0,52.625,14.4612,121.191075,0,0
0,0,0,53.125,14.3376,118.1057625,0,0
0,0,0,53.125,14.5848,119.8335375,0,0
0,0,0,51.625,14.3376,121.4379,0,0
0,0,0,52.25,14.5848,121.191075,0,0
0,0,0,51.125,14.4612,118.229175,0,0
0,0,0,52.625,14.4612,120.0803625,0,0
0,0,0,52,14.4612,120.8208375,0,0
0,0,0,52.5,14.4612,121.3144875,0,0
0,0,0,51,14.4612,117.3652875,0,0
0,0,0,51.75,14.4612,119.3398875,0,0
0,0,0,51.875,14.4612,119.710125,0,0
0,0,0,51.625,14.4612,119.5867125,0,0
0,0,0,49.25,14.4612,117.98235,0,0
0,0,0,53,14.4612,120.203775,0,0
0,0,0,53.875,14.4612,120.0803625,0,0
0,0,0,52.5,14.4612,120.697425,0,0
0,0,0,51.5,14.4612,117.241875,0,0
0,0,0,52,14.5848,119.8335375,0,0
0,0,0,52,14.3376,118.5994125,0,0
0.00014763,0,0.000354464,52,14.4612,120.3271875,0,0.125
0.00357874,0,0.000354464,51.25,14.5848,117.241875,0,0
0.00878949,0,0.000354464,50.125,14.3376,120.697425,0.125,0
0.01033,0,0.000354464,53.375,14.5848,119.710125,0.25,0.25
0.01747759,0.01,0.031639394,51.5,14.4612,119.710125,0,0.125
0.05744146,0.005,0.031639394,52.375,14.3376,117.98235,0.125,0.25
0.1305706,0.0125,0.031639394,50.375,14.5848,120.4506,0.25,0.375
0.29767044,0.0075,0.031639394,52.125,14.3376,120.0803625,0.25,0.375
0.20952125,0,0.072322357,52.375,11.4948,119.4633,0.375,0.5
0.27061881,0.01,0.072322357,55.875,10.7532,117.6121125,0.375,0.75
0.17140946,0.0025,0.072322357,54.5,10.8768,120.94425,0.25,0.625
0.129744,0.0025,0.072322357,54.625,10.7532,120.3271875,0.375,0.625
0.1706747,0,0.114642253,56,10.7532,119.5867125,0.375,0.875
0.28147761,0,0.114642253,54.875,10.8768,116.5014,0.375,1
0.31724384,0,0.114642253,51.125,10.6296,121.191075,0.5,1
0.42658078,0.005,0.114642253,51.125,10.8768,121.191075,0.375,1.125
0.34719917,0,0.128277664,54.125,10.6296,118.722825,0.375,1
0.45862026,0.015,0.128277664,54.875,10.8768,117.735525,0.375,1.125
0.29610556,0.0125,0.128277664,52.75,10.7532,121.0676625,0.375,1.375
0.20379158,0.005,0.128277664,51.375,10.7532,121.191075,0.375,1.125
0.16938535,0.0025,0.087428388,50.375,10.8768,120.0803625,0.25,1.125
0.16893673,0.015,0.087428388,50.125,10.7532,117.1184625,0.25,0.75
0.22894982,0.01,0.087428388,48.5,10.7532,121.3144875,0.125,0.625
0.46289455,0.01,0.087428388,48.5,10.7532,121.191075,0.25,0.75
0.05915117,0.0025,0.006284136,50.625,10.8768,119.4633,0,0.5
0.03020436,0.01,0.006284136,46.625,10.7532,116.8716375,0.25,0.5
0.02803437,0.015,0.006284136,45.875,10.8768,120.94425,0,0.25
0.01268262,0,0.006284136,46.375,14.4612,121.3144875,0.125,0.375
0.00642733,0,0.000183628,44.5,14.3376,120.5740125,0.125,0.375
0.00354377,0.0025,0.000183628,41.875,14.5848,116.6248125,0.125,0.125
0.0019265,0,0.000183628,43.625,14.4612,121.3144875,0,0.25
0.00026768,0,0.000183628,44,14.4612,121.3144875,0,0.125
0,0,0,43.375,14.4612,120.8208375,0,0
0,0,0,45.375,14.4612,116.1311625,0,0
0,0,0,47.375,14.4612,120.4506,0,0
0,0,0,44.875,14.4612,121.3144875,0,0
0,0,0,42.75,14.5848,120.94425,0,0
0,0,0,41.5,14.3376,117.3652875,0,0
0,0,0,42.375,14.5848,120.0803625,0,0
0,0,0,43.25,14.3376,120.697425,0,0
0,0,0,39.875,14.4612,120.8208375,0,0
